episode,total_steps,episode_reward,reward_ma5,epsilon,episode_steps,mean_loss,elapsed_minutes
1,781,-21.0,-21.0,0.995,781,,0.01591796875
2,1726,-21.0,-21.0,0.990025,945,0.007574913777365541,0.047363654772440596
3,2708,-20.0,-20.666666666666668,0.985074875,982,0.008886318476891952,0.08591435352961223
4,3767,-19.0,-20.25,0.9801495006250001,1059,0.011407510779270413,0.12741905848185223
5,4707,-21.0,-20.4,0.9752487531218751,940,0.010184734508561149,0.1645837664604187
6,5861,-20.0,-20.2,0.9703725093562657,1154,0.010274933576618102,0.20929497083028156
7,6947,-20.0,-20.0,0.9655206468094844,1086,0.010266163581714307,0.25159228245417276
8,7765,-21.0,-20.2,0.960693043575437,818,0.010913555818310336,0.284338104724884
9,8616,-21.0,-20.6,0.9558895783575597,851,0.010093348209271776,0.3179942011833191
10,9438,-21.0,-20.6,0.9511101304657719,822,0.009293089927920913,0.3504676858584086
11,10483,-20.0,-20.6,0.946354579813443,1045,0.008009627183636792,0.3911634127298991
12,11370,-20.0,-20.6,0.9416228069143757,887,0.007286483728691835,0.4254285415013631
13,12334,-19.0,-20.2,0.9369146928798039,964,0.007556539925969307,0.46266157627105714
14,13124,-21.0,-20.2,0.9322301194154049,790,0.004965987639011335,0.493688436349233
15,13983,-20.0,-20.0,0.9275689688183278,859,0.005022935490270807,0.52694624265035
16,14824,-21.0,-20.2,0.9229311239742362,841,0.0056809458460369685,0.5601155479749044
17,15614,-21.0,-20.4,0.918316468354365,790,0.0056557478585580676,0.590902837117513
18,16706,-19.0,-20.4,0.9137248860125932,1092,0.004283179246075111,0.6326492746671041
19,17772,-20.0,-20.2,0.9091562615825302,1066,0.006323462644230473,0.673859707514445
20,18676,-20.0,-20.2,0.9046104802746175,904,0.0042566740854148265,0.709188683827718
21,19438,-21.0,-20.2,0.9000874278732445,762,0.0038644616788492147,0.7392380038897196
22,20200,-21.0,-20.2,0.8955869907338783,762,0.004534497768106183,0.7694769581158956
23,21018,-21.0,-20.6,0.8911090557802088,818,0.0036159367938286297,0.8016992727915446
24,21990,-21.0,-20.8,0.8866535105013078,972,0.0037220976136504084,0.8397058884302775
25,22830,-20.0,-20.8,0.8822202429488013,840,0.002612098552448775,0.8727859894434611
26,23972,-20.0,-20.6,0.8778091417340573,1142,0.003815194083376905,0.9167758584022522
